NUM,COMPANY_NAME,CEO,VENTURE_TYPE,LOCATION,TYPE,TYPE_DETAIL,VENTURE_START_DATE,VENTURE_END_DATE
210,주식회사 라온전기,노**,혁신성장유형,경북,건설운수,"전기공사, 자동화장비 및 자동제어장치, 엘이디램프 및 조명장치, 스피커 및 음향기기, 소방공사, 통신공사, 전기자재",20260311,20290310
211,주식회사 피엔에프케어즈,최**,혁신성장유형,경기,도소매업,의료기기,20260311,20290310
212,주식회사 영창하이테크,장**,혁신성장유형,경남,제조업,자동차부품제조,20260311,20290310
213,주식회사 미드니 대구지점,남**,혁신성장유형,대구,제조업,"정수처리장치, 자외선살균기, 액체 여과기",20260311,20290310
214,주식회사 에스와이에이앤씨,김**,혁신성장유형,인천,건설운수,지반조성 포장공사업,20260311,20290310
215,주식회사 비아이자이로,이**,혁신성장유형,부산,제조업,auto pilot ,20260311,20290310
216,주식회사 세미코어,고**,벤처투자유형,경기,제조업,반도체 소캣 제조/무역,20260311,20290310
217,주식회사 파로스,김**,연구개발유형,강원,제조업,의약품,20260311,20290310
218,해승디자인,지**,혁신성장유형,경남,제조업,옥욍광고물,20260311,20290310
219,주식회사 태산실업,김**,혁신성장유형,서울,제조업,지갑형 핸드폰 케이스,20260311,20290310
220,하쿠샵,서**,혁신성장유형,경기,도소매업,강아지 간식,20260311,20290310
221,주시회사 프리벤터,임**,연구개발유형,충남,제조업,설계 제조,20260311,20290310
222,주식회사 와이어블(Wiable Corp.),"김**,장**",혁신성장유형,서울,건설운수,기지국 및 무선 네트워크 구축,20260311,20290310
223,농업회사법인(주)삼보농산,이**,혁신성장유형,대전,도소매업,농산물,20260311,20290310
224,주식회사 제이에이치지오텍,남**,혁신성장유형,경기,건설운수,지반 토질분야 엔지니어링/설계용역,20260311,20290310
225,주식회사 도국정밀,전**,혁신성장유형,충남,제조업,터보챠저 샤프트,20260311,20290310
226,프라코,김**,혁신성장유형,서울,제조업,울트라파인버블(UFB)노즐 & 울트라파인버블(UFB)엔진 & 울트라파인버블(UFB)노즐 결합 생활용품,20260311,20290310
